service_id,date,exception_type
FULL,20221107,2
LIM,20221107,1
FULL,20221108,2
LIM,20221108,1
FULL,20221109,2
LIM,20221109,1
FULL,20221110,2
LIM,20221110,1
FULL,20221111,2
LIM,20221111,1

FULL,20221212,2
LIM,20221212,1
FULL,20221213,2
LIM,20221213,1
FULL,20221214,2
LIM,20221214,1
FULL,20221215,2
LIM,20221215,1
FULL,20221216,2
LIM,20221216,1

FULL,20230206,2
LIM,20230206,1
FULL,20230207,2
LIM,20230207,1
FULL,20230208,2
LIM,20230208,1
FULL,20230209,2
LIM,20230209,1
FULL,20230210,2
LIM,20230210,1

FULL,20230313,2
LIM,20230313,1
FULL,20230314,2
LIM,20230314,1
FULL,20230315,2
LIM,20230315,1
FULL,20230316,2
LIM,20230316,1
FULL,20230317,2
LIM,20230317,1
