trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
FULL_1,00:07:55,00:07:55,merdgwtj,1,0,0,0
FULL_1,00:08:15,00:08:15,merdawpw,2,0,0,0
FULL_1,00:08:35,00:08:35,merdjmtd,3,0,0,0
FULL_1,00:08:35,00:08:35,merdjmta,5,0,0,0
FULL_1,00:08:55,00:08:55,merdgwtj,6,0,0,0

FULL_2,00:08:55,00:08:55,merdgwtj,6,0,0,0
FULL_2,00:09:15,00:09:15,merdawpw,7,0,0,0
FULL_2,00:09:35,00:09:35,merdjmtd,8,0,0,0
FULL_2,00:09:35,00:09:35,merdjmta,9,0,0,0
FULL_2,00:09:55,00:09:55,merdgwtj,10,0,0,0

FULL_3,00:09:55,00:09:55,merdgwtj,10,0,0,0
FULL_3,00:10:15,00:10:15,merdawpw,11,0,0,0
FULL_3,00:10:35,00:10:35,merdjmtd,12,0,0,0
FULL_3,00:11:10,00:11:10,merdjmta,13,0,0,0
FULL_3,00:11:20,00:11:20,merdawpm,14,0,0,0
FULL_3,00:11:40,00:11:40,merdgwtj,15,0,0,0
FULL_3,00:11:45,00:11:45,merdgwtj,16,0,0,0

FULL_4,00:11:45,00:11:45,merdgwtj,16,0,0,0
FULL_4,00:12:05,00:12:05,merdjmtd,17,0,0,0
FULL_4,00:12:10,00:12:10,merdjmta,18,0,0,0
FULL_4,00:12:20,00:12:20,merdawpm,19,0,0,0
FULL_4,00:12:40,00:12:40,merdgwtj,20,0,0,0

FULL_5,00:12:45,00:12:45,merdgwtj,21,0,0,0
FULL_5,00:13:05,00:13:05,merdjmtd,22,0,0,0
FULL_5,00:13:10,00:13:10,merdjmta,23,0,0,0
FULL_5,00:13:20,00:13:20,merdawpm,24,0,0,0
FULL_5,00:13:40,00:13:40,merdgwtj,25,0,0,0

FULL_6,00:13:45,00:13:45,merdgwtj,26,0,0,0
FULL_6,00:14:05,00:14:05,merdjmtd,27,0,0,0
FULL_6,00:14:10,00:14:10,merdjmta,28,0,0,0
FULL_6,00:14:20,00:14:20,merdawpm,29,0,0,0
FULL_6,00:14:40,00:14:40,merdgwtj,30,0,0,0

FULL_7,00:14:45,00:14:45,merdgwtj,31,0,0,0
FULL_7,00:15:05,00:15:05,merdjmtd,32,0,0,0
FULL_7,00:15:10,00:15:10,merdjmta,33,0,0,0
FULL_7,00:15:20,00:15:20,merdawpm,34,0,0,0
FULL_7,00:15:40,00:15:40,merdgwtj,35,0,0,0

FULL_8,00:15:45,00:15:45,merdgwtj,36,0,0,0
FULL_8,00:16:05,00:16:05,merdjmtd,37,0,0,0
FULL_8,00:16:10,00:16:10,merdjmta,38,0,0,0
FULL_8,00:16:20,00:16:20,merdawpm,39,0,0,0
FULL_8,00:16:40,00:16:40,merdgwtj,40,0,0,0

FULL_9,00:16:45,00:16:45,merdgwtj,41,0,0,0
FULL_9,00:17:05,00:17:05,merdjmtd,42,0,0,0
FULL_9,00:17:10,00:17:10,merdjmta,43,0,0,0
FULL_9,00:17:20,00:17:20,merdawpm,44,0,0,0
FULL_9,00:17:40,00:17:40,merdgwtj,45,0,0,0

FULL_10,00:17:45,00:17:45,merdgwtj,46,0,0,0
FULL_10,00:18:05,00:18:05,merdjmtd,47,0,0,0
FULL_10,00:18:10,00:18:10,merdjmta,48,0,0,0
FULL_10,00:18:20,00:18:20,merdawpm,49,0,0,0
FULL_10,00:18:40,00:18:40,merdgwtj,50,0,0,0

LIM_1,00:07:55,00:07:55,merdgwtj,1,0,0,0
LIM_1,00:08:15,00:08:15,merdawpw,2,0,0,0
LIM_1,00:08:35,00:08:35,merdjmtd,3,0,0,0
LIM_1,00:08:35,00:08:35,merdjmta,5,0,0,0
LIM_1,00:08:55,00:08:55,merdgwtj,6,0,0,0

LIM_2,00:08:55,00:08:55,merdgwtj,6,0,0,0
LIM_2,00:09:15,00:09:15,merdawpw,7,0,0,0

LIM_3,00:12:10,00:12:10,merdjmta,18,0,0,0
LIM_3,00:12:20,00:12:20,merdawpm,19,0,0,0
LIM_3,00:12:40,00:12:40,merdgwtj,20,0,0,0

LIM_4,00:12:45,00:12:45,merdgwtj,21,0,0,0
LIM_4,00:13:05,00:13:05,merdjmtd,22,0,0,0
LIM_4,00:13:10,00:13:10,merdjmta,23,0,0,0
LIM_4,00:13:20,00:13:20,merdawpm,24,0,0,0
LIM_4,00:13:40,00:13:40,merdgwtj,25,0,0,0

LIM_5,00:17:10,00:17:10,merdjmta,43,0,0,0
LIM_5,00:17:20,00:17:20,merdawpm,44,0,0,0
LIM_5,00:17:40,00:17:40,merdgwtj,45,0,0,0

LIM_6,00:17:45,00:17:45,merdgwtj,46,0,0,0
LIM_6,00:18:05,00:18:05,merdjmtd,47,0,0,0
LIM_6,00:18:10,00:18:10,merdjmta,48,0,0,0
LIM_6,00:18:20,00:18:20,merdawpm,49,0,0,0
LIM_6,00:18:40,00:18:40,merdgwtj,50,0,0,0
